precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
USD 30.000, $ 1,Renoir T1 - Penthouse - 5 Ambientes - Totalmente Amoblado  - Piso Alto - 4 Cocheras - Puerto Madero,"Puerto Madero, Capital Federal",500,500,5,5,4,13 años,,,Muy luminoso,4,1,,True,,True,,,True,,,,,,True,True,True,,,True,True,,,True,,True,True,True,,True,,True,,True,True,True,True,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 28.000, $ 800.000,Azucena Villaflor 559 Puerto Madero Capital Federal Argentina.,"Puerto Madero, Capital Federal",485,445,6,6,5,A estrenar,,,Muy luminoso,4,,,True,,,,True,,,,,True,,True,,,,,,True,,,,,True,True,,,,,,,True,True,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 27.000,,Azucena VIllaflor 500,"Puerto Madero, Capital Federal",490,490,6,4,4,A estrenar,Frente,,Muy luminoso,4,1,,True,,,,True,True,,,,,,True,True,True,,,True,,,True,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,,True,Ciudad Autonoma de Buenos Aires
USD 25.000, $ 350.000,Alvear Tower Azucena Villaflor  al 500,"Puerto Madero, Capital Federal",480,440,6,6,5,A estrenar,Frente,,Muy luminoso,4,1,,True,,,,True,True,,,,,,True,True,True,,,True,,,,True,,True,,True,,True,,,,True,True,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 25.000, $ 450.000,Alvear Tower - Penthouse - 5 Ambientes - Con 4 Cocheras - Muy Luminoso - Excelentes Vistas  de 360° - Puerto Madero,"Puerto Madero, Capital Federal",500,500,5,5,4,5 años,Frente,N,Muy luminoso,4,1,,True,,,,,True,,,,,,True,True,True,,,True,True,,,True,,True,True,True,,True,,,,True,True,True,True,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 25.000, $ 2.200,Azucena Villaflor  al 500 - Alvear Tower,"Puerto Madero, Capital Federal",490,490,7,4,4,5 años,Frente,,Muy luminoso,4,2,,True,,,,True,True,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,,,,True,True,,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 22.460, $ 280.000,Azucena Villaflor 500,"Puerto Madero, Capital Federal",470,450,6,4,5,2 años,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 22.460, $ 700.000,Azucena Villaflor 550,"Puerto Madero, Capital Federal",470,440,5,4,4,A estrenar,,SO,,,1,,True,,,,,,,,,,,,,,,,,,,,,,True,True,,,True,,,True,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 22.460,,Alvear Tower - 6 Ambientes - 456m²,"Puerto Madero, Capital Federal",470,450,6,6,5,A estrenar,,,Muy luminoso,,1,,True,,,,,True,,,,,,True,True,True,,,True,True,,,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,,,Ciudad Autonoma de Buenos Aires
USD 20.000,,Torre Camps - Ugarteche al 3200,"Palermo Chico, Palermo",540,500,6,4,3,40 años,Frente,NE,Muy luminoso,4,1,,True,,,,,,,,,,,True,True,True,,,True,,,True,True,,,True,True,,True,,True,,True,True,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 20.000, $ 2.500.000,Alvear Tower Azucena Villaflor  al 500,"Puerto Madero, Capital Federal",430,310,5,5,4,A estrenar,Frente,,Muy luminoso,3,1,,,,,,,True,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,,True,,True,True,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 17.000, $ 1.500.000,Martin Coronado  al 3300,"Palermo Chico, Palermo",390,270,8,3,3,A estrenar,Frente,NO,Muy luminoso,3,1,,True,,,,True,,,,,,,,True,,,True,True,True,,,,,True,,True,,True,,,,True,,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
