localidad,provincia,precio_m2_medio,precio_m2_cubierto_medio,precio_medio,precio_m2_medio_prov,precio_m2_cubierto_medio_prov
"Santa Catalina, Villanueva",Zona Note (GBA),4.111676906401167,9.283276291793486,20690.408720379146,50.08966522696906,397.94240157641303
"Santa Clara, Villanueva",Zona Note (GBA),6.995328150369408,9.721175850355715,20690.408720379146,50.08966522696906,397.94240157641303
"Santa Genoveva, Neuquén",Neuquen,10.63584150446041,11.461645877817823,924.546875,20.865564285043494,22.171698834878292
"Santa María de Tigre, Rincón de Milberg",Zona Note (GBA),5.302663819789614,8.895474245375718,20690.408720379146,50.08966522696906,397.94240157641303
"Santa Teresa, Villanueva",Zona Note (GBA),6.345915556467669,11.560621005758232,20690.408720379146,50.08966522696906,397.94240157641303
"Sarandi, Avellaneda",Zona Sur (GBA),12.653714451019152,19.844239195395193,15966.021593447505,205.8341571193392,428.3166232419916
"Sendero, Nordelta",Zona Note (GBA),10.590259396453373,11.96999199666067,20690.408720379146,50.08966522696906,397.94240157641303
"Sexta Sección, Ciudad de Mendoza",Mendoza,5.217476053966737,5.962511887722212,16983.651898734177,45.586021253378796,67.36792434493884
"Sáenz Peña, Tres de Febrero",Zona Oeste (GBA),8.3456766951752,8.828491182384797,8036.966795366795,326.18953727018226,345.5260697825962
"Tigre, GBA Norte",Zona Note (GBA),10.19450973540825,12.821324434725332,20690.408720379146,50.08966522696906,397.94240157641303
"Tigre, Tigre",Zona Note (GBA),15.633399736062614,17.628598850101543,20690.408720379146,50.08966522696906,397.94240157641303
"Tipas, Nordelta",Zona Note (GBA),8.838671888631948,11.768056988138577,20690.408720379146,50.08966522696906,397.94240157641303
"Vicente López, GBA Norte",Zona Note (GBA),15.66437601731306,16.97178039159165,20690.408720379146,50.08966522696906,397.94240157641303
"Victoria, San Fernando",Zona Note (GBA),8.700006094603268,10.10332176282015,20690.408720379146,50.08966522696906,397.94240157641303
"Villa Ballester, General San Martín",Zona Note (GBA),7.6345533548601745,8.340172291800828,20690.408720379146,50.08966522696906,397.94240157641303
"Villa Madero, La Matanza",Zona Oeste (GBA),7.034737791830348,8.017298977636482,8036.966795366795,326.18953727018226,345.5260697825962
"Villanueva, Tigre",Zona Note (GBA),7.115530769495031,11.552437514273183,20690.408720379146,50.08966522696906,397.94240157641303
"Wilde, Avellaneda",Zona Sur (GBA),12.35794599201704,13.040909075676934,15966.021593447505,205.8341571193392,428.3166232419916
"Área Centro Este, Neuquén",Neuquen,11.195528434410807,11.38789568258122,924.546875,20.865564285043494,22.171698834878292
