provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad,precio_m2_cubierto_medio_prov
Santa Fe,"Abasto, Rosario",1,217.68,5.308442647660309,8.711410816835214
Santa Fe,"Abasto, Rosario",2,228.125,5.098935051512309,8.711410816835214
Santa Fe,"Abasto, Rosario",3,258.3333333333333,4.849768367832883,8.711410816835214
Santa Fe,"Abasto, Rosario",4,355.7142857142857,5.542759961127309,8.711410816835214
Santa Fe,"Abasto, Rosario",5,351.6666666666667,4.605820105820106,8.711410816835214
Santa Fe,"Abasto, Rosario",7,350.0,4.666666666666667,8.711410816835214
Santa Fe,"Abasto, Rosario",6,420.0,5.7534246575342465,8.711410816835214
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",6,2811.1111111111113,8.114998356180623,18.825498964718964
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",5,3087.5,11.114338020130822,18.825498964718964
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",8,2600.0,7.416666666666666,18.825498964718964
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",4,3260.0,808.272687111522,18.825498964718964
Zona Norte (GBA),"Acacias, El Cazador",6,1720.0,7.89631377654325,12.133321183116772
Zona Norte (GBA),"Acacias, El Cazador",5,1340.909090909091,7.150273412793862,12.133321183116772
Zona Norte (GBA),"Acacias, El Cazador",4,1120.7142857142858,6.552784384428581,12.133321183116772
Zona Norte (GBA),"Acacias, El Cazador",7,1000.0,5.681818181818182,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",7,4825.0,10.271204454976967,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",9,6500.0,12.685680332739157,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",11,4900.0,9.8,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",8,5250.0,8.700205633926293,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",5,2208.1666666666665,10.465966794047825,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",4,1432.6315789473683,12.119573438973498,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",6,3316.6666666666665,11.181751792511285,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",3,1468.0,16.184138476667567,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",2,453.3333333333333,11.513665720769657,12.133321183116772
Zona Norte (GBA),"Acassuso, San Isidro",1,343.3333333333333,11.222222222222221,12.133321183116772
Zona Sur (GBA),"Adrogué, Almirante Brown",3,582.8571428571429,70.74853686413836,18.825498964718964
Zona Sur (GBA),"Adrogué, Almirante Brown",5,1250.0,6.944444444444445,18.825498964718964
Zona Sur (GBA),"Adrogué, Almirante Brown",4,764.2857142857143,6.904253260820082,18.825498964718964
Zona Sur (GBA),"Adrogué, Almirante Brown",2,342.5,8.61580437106753,18.825498964718964
Zona Sur (GBA),"Adrogué, Almirante Brown",1,286.6666666666667,9.558730158730159,18.825498964718964
Zona Norte (GBA),"Albanueva, Rincón de Milberg",6,9457.142857142857,20.222194568884465,12.133321183116772
Zona Norte (GBA),"Albanueva, Rincón de Milberg",5,8150.0,18.450858250276855,12.133321183116772
Zona Norte (GBA),"Albanueva, Rincón de Milberg",7,5533.333333333333,13.230255153333324,12.133321183116772
Zona Norte (GBA),"Albanueva, Rincón de Milberg",8,10000.0,19.047619047619047,12.133321183116772
Zona Norte (GBA),"Albanueva, Rincón de Milberg",4,7000.0,17.5,12.133321183116772
Zona Norte (GBA),"Albanueva, Rincón de Milberg",3,1500.0,11.505681818181818,12.133321183116772
Cordoba,"Alberdi, Córdoba",5,383.3333333333333,135.83333333333334,16.418871854486028
Cordoba,"Alberdi, Córdoba",1,215.85714285714286,6.009002876512924,16.418871854486028
Cordoba,"Alberdi, Córdoba",2,264.72222222222223,5.630496047688718,16.418871854486028
Cordoba,"Alberdi, Córdoba",3,282.5,37.24561813806363,16.418871854486028
Cordoba,"Alberdi, Córdoba",4,522.1428571428571,83.46850469039408,16.418871854486028
Cordoba,"Alberdi, Córdoba",6,360.0,6.0,16.418871854486028
Santa Fe,"Alberdi, Rosario",1,102.5,4.227941176470589,8.711410816835214
Santa Fe,"Alberdi, Rosario",2,193.33333333333334,4.73635477582846,8.711410816835214
Santa Fe,"Alberdi, Rosario",3,932.5,6.8443265949447625,8.711410816835214
Santa Fe,"Alberdi, Rosario",4,698.75,6.513202075702075,8.711410816835214
Santa Fe,"Alberdi, Rosario",5,330.0,3.1132075471698113,8.711410816835214
Santa Fe,"Alberdi, Rosario",6,1150.0,5.0,8.711410816835214
