precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
$ 40.000, $ 14.000,Nazaret 3176,"Las Rosas, Córdoba",12,12,1,,,A estrenar,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 40.000,,BV. CHACABUCO,"Centro, Córdoba",12,12,,,,20 años,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 40.000, $ 14.000,Av. pueyredon 892,"Observatorio, Córdoba",20,20,1,,,A estrenar,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 40.000,,9 de Julio Oeste.  Alta Gracia  al 200,"Adelia María, Córdoba",,,,,,A estrenar,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,True,,Cordoba
$ 40.000,,9 de Julio Oeste.  Alta Gracia  al 200,"Adelia María, Córdoba",,,,,,A estrenar,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,True,,Cordoba
$ 40.000,,parana ,"Nueva Córdoba, Córdoba",40,35,1,1,1,4 años,Interno,,,,,,,,True,,True,,True,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,Cordoba
$ 40.000, $ 5.000,Corro Esq. Dean Funes.hermoso Departamento en Alquiler Temporario. Excelente Zona Centro,"Centro, Córdoba",40,40,2,1,1,20 años,Frente,E,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,Cordoba
$ 40.000,,General Paz 120 Córdoba Córdoba Argentina.,"Centro, Córdoba",14,14,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 40.000, $ 37.000,9 de Julio 162,"Centro, Córdoba",30,30,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 40.000,,Heine 80,"Villa del Lago, Villa Carlos Paz",1000,40,2,1,1,10 años,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,Cordoba
